Est,Edad,Impuso,Extro,Cant_arg,connectors_total,politeness_total,rud_total,powerless_total
1,23,0,31,7,27,6,14,0
2,35,1,35,10,76,12,39,12
3,19,0,28,7,39,6,18,4
4,19,1,24,11,55,2,14,4
5,22,1,40,3,9,1,1,4
6,19,0,24,3,8,10,3,3
7,20,0,21,5,34,4,16,10
8,19,1,12,4,22,3,16,1
9,24,0,39,21,126,5,38,12
10,18,0,23,25,76,4,43,3
11,21,1,22,30,161,18,93,9
12,18,0,19,30,61,23,31,0
13,18,1,31,3,23,4,15,5
14,19,0,13,4,8,1,6,0
15,20,0,30,4,33,7,10,2
16,18,1,37,9,60,7,33,11
17,18,0,26,6,71,3,29,4
18,18,0,31,7,57,10,19,4
19,18,1,39,6,26,4,16,3
20,19,0,30,10,34,3,20,2
21,22,0,25,3,18,6,7,6
22,19,1,38,2,23,1,12,1
23,19,0,17,6,29,5,20,10
24,19,1,22,8,58,13,32,4
25,26,0,33,10,22,11,11,3
26,20,0,34,15,33,2,17,0
27,19,0,30,4,24,4,9,1
28,20,1,37,4,56,5,16,12
29,19,0,27,3,28,10,14,11
30,20,1,31,5,6,1,13,4
31,24,0,34,4,65,8,33,5
32,20,0,19,3,7,0,5,0
33,19,0,40,2,42,3,27,0
34,19,1,40,4,32,8,10,6
35,19,0,28,4,16,9,10,3
36,20,1,41,6,10,3,10,1
37,20,0,28,5,22,3,13,3
38,24,0,39,2,4,1,1,4
39,24,1,35,2,24,4,3,5
40,25,0,37,3,10,2,3,3
41,19,0,29,2,18,1,3,3
42,18,0,31,3,16,3,7,6
43,18,1,31,3,18,0,14,4
44,31,0,22,11,56,9,43,5
45,28,1,32,8,61,8,23,11
46,19,0,29,7,22,5,20,2
47,20,1,18,9,29,2,17,4
48,19,0,41,13,86,14,51,10
49,19,1,41,13,133,10,80,8
