"Est","Edad","Impuso","Extro","Cant_arg","connectors_total","politeness_total","rud_total","powerless_total","Impuso_n","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6"
1,23,0,31,7,27,6,14,0,1,-0.787303778244922,-0.56461053831703,0.957000121449793,0.303207451090682,-0.171352503709662,-0.0952403822899241
2,35,1,35,10,76,12,39,12,2,2.41358044936065,1.33782973138822,-0.857722331868752,0.602793175609644,0.00239500636751877,0.113867261343418
3,19,0,28,7,39,6,18,4,1,-0.160587518333949,-0.270873199214562,-0.0518715080772616,0.0537291172893701,-0.0709098135045414,-0.104452558352917
4,19,1,24,11,55,2,14,4,2,-0.103582591485051,-0.677570824256509,-0.157129318650574,-0.94616671276807,0.494385865038317,-0.497103673310838
5,22,1,40,3,9,1,1,4,2,-1.82311412916681,1.22634431024264,0.553300549766665,0.0317200932051719,0.461463087193292,0.0751717540679832
6,19,0,24,3,8,10,3,3,1,-1.07948514764211,-0.874768603246036,-0.504058844922664,1.31115178007126,-0.194444258472222,-0.101605395522969
7,20,0,21,5,34,4,16,10,1,-0.125855512467355,0.00475433576225082,-1.93033434004031,-0.37572363564389,0.242785794796694,0.101153782180005
8,19,1,12,4,22,3,16,1,2,-1.21478199330389,-2.13834521847221,-0.827292915563342,-0.645778150898644,-0.623988977716056,-0.0571929154684437
9,24,0,39,21,126,5,38,12,1,3.31367466854177,1.6349930238053,0.0619453426253325,-1.25739958694241,1.30553679077916,-0.700416367949528
10,18,0,23,25,76,4,43,3,1,2.10738857460271,-1.57956982984667,0.813128166939406,-1.51731605221637,0.984674040443255,0.248081696956197
11,21,1,22,30,161,18,93,9,2,6.93451228193101,-1.29291573269264,0.127572675977282,-0.613364858769855,-0.359417043130023,0.143205674956695
12,18,0,19,30,61,23,31,0,1,3.31023487818342,-3.3685104241064,1.15244313617272,2.18962424607382,1.05077245840815,-0.0562491687975493
